"Reference","Qty","Value","DNP","Exclude from BOM","Exclude from Board","Footprint","Datasheet"
"C2","1","10n","","","","Capacitor_SMD:C_0201_0603Metric",""
"C3","1","4.7µ","","","","Capacitor_SMD:C_0805_2012Metric",""
"C4","1","0.1µ","","","","Capacitor_SMD:C_0201_0603Metric",""
"C5,C6","2","22µ","","","","Capacitor_SMD:C_1210_3225Metric",""
"C7","1","47µ","","","","Capacitor_SMD:C_1210_3225Metric",""
"J1","1","Conn_01x02_Pin","","","","TerminalBlock_Phoenix:TerminalBlock_Phoenix_MKDS-1,5-2-5.08_1x02_P5.08mm_Horizontal","~"
"L1","1","10µ","","","","Inductor_SMD:L_Neosid_SMS-ME3015",""
"R2,RFB2,RT1","3","100k","","","","Resistor_SMD:R_0201_0603Metric",""
"RFB1","1","425k","","","","Resistor_SMD:R_0201_0603Metric",""
"RLOAD1","1","2.5","","","","Resistor_SMD:R_1206_3216Metric",""
"TP1,TP2,TP3,TP4,TP5","5","TestPoint","","","","TestPoint:TestPoint_Pad_1.0x1.0mm","~"
"U1","1","LT8610","","","","Package_DFN_QFN:QFN-16-1EP_1.8x2.6mm_P0.4mm_EP0.7x1.5mm",""
